#bond	force_constant	x0
Na-Na	1415.710776215859	0.41294735434541113
Na-C1	8911.172006669118	0.32858740323416236
Na-Qa	1323.4545326036043	0.48271149505072575
C2-C1	17154.01895716912	0.310339917355872
C1-C1	9441.673341986036	0.37170524927161064
Qa-Q0	1933.7508078718724	0.4625505316491345
