#bond	force_constant	x0
Na-Na	1650.424567149556	0.42284122291095516
Na-C1	15157.038018346871	0.32945780144414566
Na-Qa	1103.287761212171	0.4838853213975994
C2-C1	26684.798525269223	0.31516064019311507
C1-C1	25942.686761332137	0.37903225994105955
Qa-Q0	2862.172897268665	0.46005446912579245
